"name","sim","replicate","ema"
"Northern_brown_bandicoot","low_disp_recorded_fires",78,5254.36957381325
"Northern_brown_bandicoot","low_disp_recorded_fires",79,4796.17511050378
"Northern_brown_bandicoot","low_disp_recorded_fires",80,1639.314273641
"Northern_brown_bandicoot","low_disp_recorded_fires",81,9254.85909242243
"Northern_brown_bandicoot","low_disp_recorded_fires",82,7826.69422262352
"Northern_brown_bandicoot","low_disp_recorded_fires",83,7867.2691523277
"Northern_brown_bandicoot","low_disp_recorded_fires",84,4494.65583730123
"Northern_brown_bandicoot","low_disp_recorded_fires",85,1738.51074569657
"Northern_brown_bandicoot","low_disp_recorded_fires",86,3677.65428138797
"Northern_brown_bandicoot","low_disp_recorded_fires",87,8807.06395599555
"Northern_brown_bandicoot","low_disp_recorded_fires",88,3750.3454183301
"Northern_brown_bandicoot","low_disp_recorded_fires",89,3172.50631474042
"Northern_brown_bandicoot","low_disp_recorded_fires",90,11434.0878856142
"Northern_brown_bandicoot","low_disp_recorded_fires",91,6101.51925137577
"Northern_brown_bandicoot","low_disp_recorded_fires",92,7911.32065849788
"Northern_brown_bandicoot","low_disp_recorded_fires",93,9327.57213060355
"Northern_brown_bandicoot","low_disp_recorded_fires",94,2607.21100146243
"Northern_brown_bandicoot","low_disp_recorded_fires",95,7424.00008337023
"Northern_brown_bandicoot","low_disp_recorded_fires",96,3323.92874268315
"Northern_brown_bandicoot","low_disp_recorded_fires",97,10388.4659336287
"Northern_brown_bandicoot","low_disp_recorded_fires",98,4546.75707834285
"Northern_brown_bandicoot","low_disp_recorded_fires",99,9805.5139399173
"Northern_brown_bandicoot","low_disp_recorded_fires",100,8941.17792065706
"Northern_brown_bandicoot","mod_disp_recorded_fires",1,4888.71523478165
"Northern_brown_bandicoot","mod_disp_recorded_fires",2,7295.79013121683
"Northern_brown_bandicoot","mod_disp_recorded_fires",3,11729.9749865412
"Northern_brown_bandicoot","mod_disp_recorded_fires",4,7355.25374393924
"Northern_brown_bandicoot","mod_disp_recorded_fires",5,11383.1479055169
"Northern_brown_bandicoot","mod_disp_recorded_fires",6,12448.6653103798
"Northern_brown_bandicoot","mod_disp_recorded_fires",7,3378.31316331413
"Northern_brown_bandicoot","mod_disp_recorded_fires",8,9330.02413750664
"Northern_brown_bandicoot","mod_disp_recorded_fires",9,5761.56891511478
"Northern_brown_bandicoot","mod_disp_recorded_fires",10,10539.7089442145
"Northern_brown_bandicoot","mod_disp_recorded_fires",11,3412.1878859963
"Northern_brown_bandicoot","mod_disp_recorded_fires",12,8833.76335392518
"Northern_brown_bandicoot","mod_disp_recorded_fires",13,7946.71958566349
"Northern_brown_bandicoot","mod_disp_recorded_fires",14,9066.38401610949
"Northern_brown_bandicoot","mod_disp_recorded_fires",15,1896.16618842347
"Northern_brown_bandicoot","mod_disp_recorded_fires",16,6461.32144684923
"Northern_brown_bandicoot","mod_disp_recorded_fires",17,11285.0922784707
"Northern_brown_bandicoot","mod_disp_recorded_fires",18,11649.9806121482
"Northern_brown_bandicoot","mod_disp_recorded_fires",19,5214.48361530425
"Northern_brown_bandicoot","mod_disp_recorded_fires",20,5156.4531320411
"Northern_brown_bandicoot","mod_disp_recorded_fires",21,3763.06841154731
"Northern_brown_bandicoot","mod_disp_recorded_fires",22,8482.65336779092
"Northern_brown_bandicoot","mod_disp_recorded_fires",23,5758.53091342757
"Northern_brown_bandicoot","mod_disp_recorded_fires",24,11980.2074187787
"Northern_brown_bandicoot","mod_disp_recorded_fires",25,6599.07727843436
"Northern_brown_bandicoot","mod_disp_recorded_fires",26,9135.21070112977
"Northern_brown_bandicoot","mod_disp_recorded_fires",27,6319.80117632258
"Northern_brown_bandicoot","mod_disp_recorded_fires",28,5456.76028795975
"Northern_brown_bandicoot","mod_disp_recorded_fires",29,7965.98412941792
"Northern_brown_bandicoot","mod_disp_recorded_fires",30,9672.46320695086
"Northern_brown_bandicoot","mod_disp_recorded_fires",31,3068.54620384285
"Northern_brown_bandicoot","mod_disp_recorded_fires",32,4492.3444743009
"Northern_brown_bandicoot","mod_disp_recorded_fires",33,6868.48532981759
"Northern_brown_bandicoot","mod_disp_recorded_fires",34,8353.67744817392
"Northern_brown_bandicoot","mod_disp_recorded_fires",35,1666.44579711384
"Northern_brown_bandicoot","mod_disp_recorded_fires",36,7127.67681947176
"Northern_brown_bandicoot","mod_disp_recorded_fires",37,11632.9314355167
"Northern_brown_bandicoot","mod_disp_recorded_fires",38,9035.76309926943
"Northern_brown_bandicoot","mod_disp_recorded_fires",39,2939.07807703906
"Northern_brown_bandicoot","mod_disp_recorded_fires",40,10188.1271353504
"Northern_brown_bandicoot","mod_disp_recorded_fires",41,2391.28606699889
"Northern_brown_bandicoot","mod_disp_recorded_fires",42,4029.14235614624
"Northern_brown_bandicoot","mod_disp_recorded_fires",43,3731.10744896042
"Northern_brown_bandicoot","mod_disp_recorded_fires",44,3483.22866876697
"Northern_brown_bandicoot","mod_disp_recorded_fires",45,10217.3339944181
"Northern_brown_bandicoot","mod_disp_recorded_fires",46,5766.85321512371
"Northern_brown_bandicoot","mod_disp_recorded_fires",47,6514.63177310388
"Northern_brown_bandicoot","mod_disp_recorded_fires",48,11377.9312351387
"Northern_brown_bandicoot","mod_disp_recorded_fires",49,7246.25585656912
"Northern_brown_bandicoot","mod_disp_recorded_fires",50,3523.33682972949
"Northern_brown_bandicoot","mod_disp_recorded_fires",51,9127.40462873512
"Northern_brown_bandicoot","mod_disp_recorded_fires",52,10592.077877871
"Northern_brown_bandicoot","mod_disp_recorded_fires",53,7708.05002087004
"Northern_brown_bandicoot","mod_disp_recorded_fires",54,11966.9720175604
"Northern_brown_bandicoot","mod_disp_recorded_fires",55,6328.67606673924
"Northern_brown_bandicoot","mod_disp_recorded_fires",56,9760.19685041865
"Northern_brown_bandicoot","mod_disp_recorded_fires",57,3076.77788665874
"Northern_brown_bandicoot","mod_disp_recorded_fires",58,6537.15194332328
"Northern_brown_bandicoot","mod_disp_recorded_fires",59,14050.2670950239
"Northern_brown_bandicoot","mod_disp_recorded_fires",60,5762.61695369672
"Northern_brown_bandicoot","mod_disp_recorded_fires",61,11529.0058814616
"Northern_brown_bandicoot","mod_disp_recorded_fires",62,9433.85607232482
"Northern_brown_bandicoot","mod_disp_recorded_fires",63,10637.0243187758
"Northern_brown_bandicoot","mod_disp_recorded_fires",64,8192.7554658114
"Northern_brown_bandicoot","mod_disp_recorded_fires",65,8004.35072771233
"Northern_brown_bandicoot","mod_disp_recorded_fires",66,6130.18435359604
"Northern_brown_bandicoot","mod_disp_recorded_fires",67,7134.32950801658
"Northern_brown_bandicoot","mod_disp_recorded_fires",68,5209.80835465193
"Northern_brown_bandicoot","mod_disp_recorded_fires",69,6083.68834118278
"Northern_brown_bandicoot","mod_disp_recorded_fires",70,3856.53830473503
"Northern_brown_bandicoot","mod_disp_recorded_fires",71,4377.05340207699
"Northern_brown_bandicoot","mod_disp_recorded_fires",72,6874.53869833531
"Northern_brown_bandicoot","mod_disp_recorded_fires",73,8986.38506322849
"Northern_brown_bandicoot","mod_disp_recorded_fires",74,6953.12234150517
"Northern_brown_bandicoot","mod_disp_recorded_fires",75,12820.5943851729
"Northern_brown_bandicoot","mod_disp_recorded_fires",76,3929.63193314866
"Northern_brown_bandicoot","mod_disp_recorded_fires",77,2347.43452494837
"Northern_brown_bandicoot","mod_disp_recorded_fires",78,7537.13949490209
"Northern_brown_bandicoot","mod_disp_recorded_fires",79,7481.7892781784
"Northern_brown_bandicoot","mod_disp_recorded_fires",80,8864.46498094917
"Northern_brown_bandicoot","mod_disp_recorded_fires",81,5883.30572373902
"Northern_brown_bandicoot","mod_disp_recorded_fires",82,4357.29861100944
"Northern_brown_bandicoot","mod_disp_recorded_fires",83,9745.40382267126
"Northern_brown_bandicoot","mod_disp_recorded_fires",84,11353.6010055817
"Northern_brown_bandicoot","mod_disp_recorded_fires",85,5364.66849564251
"Northern_brown_bandicoot","mod_disp_recorded_fires",86,3014.0824400573
"Northern_brown_bandicoot","mod_disp_recorded_fires",87,8875.13061261812
"Northern_brown_bandicoot","mod_disp_recorded_fires",88,3322.77840900722
"Northern_brown_bandicoot","mod_disp_recorded_fires",89,6823.25564129042
"Northern_brown_bandicoot","mod_disp_recorded_fires",90,4391.08167508893
"Northern_brown_bandicoot","mod_disp_recorded_fires",91,15235.4496908842
"Northern_brown_bandicoot","mod_disp_recorded_fires",92,7993.43807015468
"Northern_brown_bandicoot","mod_disp_recorded_fires",93,8822.38160174231
"Northern_brown_bandicoot","mod_disp_recorded_fires",94,10453.53180457
"Northern_brown_bandicoot","mod_disp_recorded_fires",95,10268.855271382
"Northern_brown_bandicoot","mod_disp_recorded_fires",96,6286.48842492477
"Northern_brown_bandicoot","mod_disp_recorded_fires",97,4360.6150886461
"Northern_brown_bandicoot","mod_disp_recorded_fires",98,4013.99812767822
"Northern_brown_bandicoot","mod_disp_recorded_fires",99,7770.51635286827
"Northern_brown_bandicoot","mod_disp_recorded_fires",100,5245.61601435517
"Northern_brown_bandicoot","high_disp_recorded_fires",1,3866.99087691599
"Northern_brown_bandicoot","high_disp_recorded_fires",2,10978.7240926353
"Northern_brown_bandicoot","high_disp_recorded_fires",3,8191.21536643572
"Northern_brown_bandicoot","high_disp_recorded_fires",4,8648.94131926771
"Northern_brown_bandicoot","high_disp_recorded_fires",5,4631.70902693128
"Northern_brown_bandicoot","high_disp_recorded_fires",6,6426.93490495101
"Northern_brown_bandicoot","high_disp_recorded_fires",7,2914.74776050701
"Northern_brown_bandicoot","high_disp_recorded_fires",8,4839.13237520924
"Northern_brown_bandicoot","high_disp_recorded_fires",9,6026.10242413016
"Northern_brown_bandicoot","high_disp_recorded_fires",10,7431.73891819303
"Northern_brown_bandicoot","high_disp_recorded_fires",11,4631.04778802749
"Northern_brown_bandicoot","high_disp_recorded_fires",12,3560.92437876796
"Northern_brown_bandicoot","high_disp_recorded_fires",13,9786.46129604354
"Northern_brown_bandicoot","high_disp_recorded_fires",14,4683.03566654115
"Northern_brown_bandicoot","high_disp_recorded_fires",15,3179.38008624312
"Northern_brown_bandicoot","high_disp_recorded_fires",16,3715.43065153751
"Northern_brown_bandicoot","high_disp_recorded_fires",17,7703.95765453357
"Northern_brown_bandicoot","high_disp_recorded_fires",18,6252.84118445349
"Northern_brown_bandicoot","high_disp_recorded_fires",19,12235.440808655
