"Scenario","Replicate","Final_Abundance"
"Northern_brown_bandicoot_low_disp_recorded_fires",78,18023.2455364598
"Northern_brown_bandicoot_low_disp_recorded_fires",79,8201.12488169448
"Northern_brown_bandicoot_low_disp_recorded_fires",80,6511.22982862844
"Northern_brown_bandicoot_low_disp_recorded_fires",81,9254.85909242243
"Northern_brown_bandicoot_low_disp_recorded_fires",82,13426.6499219936
"Northern_brown_bandicoot_low_disp_recorded_fires",83,11560.8714511795
"Northern_brown_bandicoot_low_disp_recorded_fires",84,6101.84161927907
"Northern_brown_bandicoot_low_disp_recorded_fires",85,1924.04880234502
"Northern_brown_bandicoot_low_disp_recorded_fires",86,4495.09186986321
"Northern_brown_bandicoot_low_disp_recorded_fires",87,20016.8691877508
"Northern_brown_bandicoot_low_disp_recorded_fires",88,4440.60545816249
"Northern_brown_bandicoot_low_disp_recorded_fires",89,4776.43833655249
"Northern_brown_bandicoot_low_disp_recorded_fires",90,18010.901855636
"Northern_brown_bandicoot_low_disp_recorded_fires",91,22632.4399465039
"Northern_brown_bandicoot_low_disp_recorded_fires",92,13982.3097740501
"Northern_brown_bandicoot_low_disp_recorded_fires",93,20175.9537768295
"Northern_brown_bandicoot_low_disp_recorded_fires",94,2607.21100146243
"Northern_brown_bandicoot_low_disp_recorded_fires",95,8924.81949789914
"Northern_brown_bandicoot_low_disp_recorded_fires",96,8493.02958121289
"Northern_brown_bandicoot_low_disp_recorded_fires",97,11802.2323792982
"Northern_brown_bandicoot_low_disp_recorded_fires",98,7588.26411195106
"Northern_brown_bandicoot_low_disp_recorded_fires",99,13863.0398044626
"Northern_brown_bandicoot_low_disp_recorded_fires",100,28334.5793214777
"Northern_brown_bandicoot_mod_disp_recorded_fires",1,9268.57160126164
"Northern_brown_bandicoot_mod_disp_recorded_fires",2,9109.57244138244
"Northern_brown_bandicoot_mod_disp_recorded_fires",3,13061.1942781815
"Northern_brown_bandicoot_mod_disp_recorded_fires",4,7484.08771167612
"Northern_brown_bandicoot_mod_disp_recorded_fires",5,22274.6046448313
"Northern_brown_bandicoot_mod_disp_recorded_fires",6,19627.3899763707
"Northern_brown_bandicoot_mod_disp_recorded_fires",7,4028.79259848098
"Northern_brown_bandicoot_mod_disp_recorded_fires",8,25410.3194308903
"Northern_brown_bandicoot_mod_disp_recorded_fires",9,19961.8837095572
"Northern_brown_bandicoot_mod_disp_recorded_fires",10,14005.840935981
"Northern_brown_bandicoot_mod_disp_recorded_fires",11,3412.1878859963
"Northern_brown_bandicoot_mod_disp_recorded_fires",12,20984.4232649193
"Northern_brown_bandicoot_mod_disp_recorded_fires",13,10396.9702026412
"Northern_brown_bandicoot_mod_disp_recorded_fires",14,15485.8404193168
"Northern_brown_bandicoot_mod_disp_recorded_fires",15,1955.34268400205
"Northern_brown_bandicoot_mod_disp_recorded_fires",16,15191.1806146747
"Northern_brown_bandicoot_mod_disp_recorded_fires",17,20685.1740398068
"Northern_brown_bandicoot_mod_disp_recorded_fires",18,11649.9806121482
"Northern_brown_bandicoot_mod_disp_recorded_fires",19,10430.6009713232
"Northern_brown_bandicoot_mod_disp_recorded_fires",20,5768.62926050316
"Northern_brown_bandicoot_mod_disp_recorded_fires",21,4078.51312903942
"Northern_brown_bandicoot_mod_disp_recorded_fires",22,14962.7125174054
"Northern_brown_bandicoot_mod_disp_recorded_fires",23,9502.26191420031
"Northern_brown_bandicoot_mod_disp_recorded_fires",24,15268.7736519034
"Northern_brown_bandicoot_mod_disp_recorded_fires",25,6599.07727843436
"Northern_brown_bandicoot_mod_disp_recorded_fires",26,13159.0740176161
"Northern_brown_bandicoot_mod_disp_recorded_fires",27,6757.83353201144
"Northern_brown_bandicoot_mod_disp_recorded_fires",28,8023.48701888111
"Northern_brown_bandicoot_mod_disp_recorded_fires",29,17033.4629101919
"Northern_brown_bandicoot_mod_disp_recorded_fires",30,17445.2130495081
"Northern_brown_bandicoot_mod_disp_recorded_fires",31,8875.82382519967
"Northern_brown_bandicoot_mod_disp_recorded_fires",32,10869.0715017296
"Northern_brown_bandicoot_mod_disp_recorded_fires",33,14625.3419668856
"Northern_brown_bandicoot_mod_disp_recorded_fires",34,16460.9733460632
"Northern_brown_bandicoot_mod_disp_recorded_fires",35,2509.90103016912
"Northern_brown_bandicoot_mod_disp_recorded_fires",36,14135.7866356469
"Northern_brown_bandicoot_mod_disp_recorded_fires",37,21076.4066690626
"Northern_brown_bandicoot_mod_disp_recorded_fires",38,17974.9146799233
"Northern_brown_bandicoot_mod_disp_recorded_fires",39,5087.05273369962
"Northern_brown_bandicoot_mod_disp_recorded_fires",40,25384.243118067
"Northern_brown_bandicoot_mod_disp_recorded_fires",41,9882.34283061342
"Northern_brown_bandicoot_mod_disp_recorded_fires",42,4029.14235614624
"Northern_brown_bandicoot_mod_disp_recorded_fires",43,5802.98787294886
"Northern_brown_bandicoot_mod_disp_recorded_fires",44,4547.14393134404
"Northern_brown_bandicoot_mod_disp_recorded_fires",45,21540.3226552858
"Northern_brown_bandicoot_mod_disp_recorded_fires",46,11034.2643268559
